Time;Temperature(℃);Feels Like(℃);Dew Point(℃);Humidity(%);Temperature(℃);Humidity(%);Solar(W/m²);UVI;Rain Rate(mm/hr);Daily(mm);Event(mm);Hourly(mm);Weekly(mm);Monthly(mm);Yearly(mm);Wind Speed(m/s);Wind Gust(m/s);Wind Direction(º);Relative(hPa);Absolute(hPa);Temperature(℃);Humidity(%);Soilmoisture(%);Soilmoisture(%);Temperature(℃);Haptic Array(Battery)(V);Haptic Array(Capacitor)(V);Soilmoisture Sensor CH1(V);Soilmoisture Sensor CH2(V);Temperature Sensor CH1(V)
2023-07-27 00:00;15,7;15,7;10,3;70;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,9;228;1009,4;1009,4;24,4;52;28;25;20,5;3,06;5,1;1,5;1,5;1,50
2023-07-27 00:05;15,7;15,7;10,4;71;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;2,4;215;1009,3;1009,3;24,4;52;28;25;20,4;3,06;5,1;1,5;1,5;1,50
2023-07-27 00:10;15,6;15,6;10,6;72;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,7;271;1009,2;1009,2;24,4;52;28;25;20,4;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:15;15,6;15,6;10,7;73;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,0;9;1009,2;1009,2;24,4;52;28;25;20,4;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:20;15,5;15,5;10,7;73;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,0;276;1009,1;1009,1;24,4;52;28;25;20,4;3,06;5,0;1,5;1,5;1,48
2023-07-27 00:25;15,4;15,4;10,6;73;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,3;210;1009,1;1009,1;24,4;52;28;25;20,3;3,06;5,0;1,5;1,5;1,48
2023-07-27 00:30;15,3;15,3;10,7;74;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,6;203;1009,2;1009,2;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,48
2023-07-27 00:35;15,3;15,3;10,8;75;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,0;235;1009,2;1009,2;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:40;15,2;15,2;10,8;75;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,6;224;1009,3;1009,3;24,4;52;28;25;20,3;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:45;15,0;15,0;10,9;76;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,3;220;1009,3;1009,3;24,4;52;28;25;20,3;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:50;14,9;14,9;10,9;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;2,7;204;1009,1;1009,1;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:55;14,9;14,9;10,9;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;2,5;226;1009,2;1009,2;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:00;14,8;14,8;11,0;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,4;210;1009,2;1009,2;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:05;14,7;14,7;10,9;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,7;216;1009,2;1009,2;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:10;14,7;14,7;10,8;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,2;213;1009,2;1009,2;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:15;14,7;14,7;10,8;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,4;206;1009,3;1009,3;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:20;14,7;14,7;10,7;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,4;216;1009,2;1009,2;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:25;14,7;14,7;10,7;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;2,0;223;1009,3;1009,3;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,48
2023-07-27 01:30;14,7;14,7;10,7;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;2,8;209;1009,4;1009,4;24,3;52;28;25;20,0;3,06;5,0;1,5;1,5;1,48
2023-07-27 01:35;14,6;14,6;10,7;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;1,5;193;1009,3;1009,3;24,3;52;28;25;20,0;3,06;5,0;1,5;1,5;1,49
