,uv,temp,drain_piezo,humidity,maxdailygust,soilmoisture2,solarradiation
0,2.0,23.000000000000004,0.0,43.0,16.560149759999998,31.0,271.11
1,2.0,22.88888888888889,0.0,43.0,16.560149759999998,31.0,280.27
2,2.0,22.77777777777778,0.0,43.0,16.560149759999998,31.0,307.1
3,2.0,22.38888888888889,0.0,43.0,16.560149759999998,31.0,222.81
4,2.0,22.11111111111111,0.0,44.0,16.560149759999998,31.0,221.63
5,4.0,22.0,0.0,45.0,16.560149759999998,31.0,517.84
6,3.0,22.0,0.0,45.0,16.560149759999998,31.0,370.17
7,2.0,21.888888888888893,0.0,45.0,16.560149759999998,31.0,244.75
8,2.0,21.722222222222214,0.0,46.0,16.560149759999998,31.0,248.3
9,2.0,21.722222222222214,0.0,45.0,16.560149759999998,31.0,256.91
10,2.0,21.722222222222214,0.0,45.0,16.560149759999998,31.0,260.38
11,2.0,21.722222222222214,0.0,45.0,16.560149759999998,31.0,260.14
12,2.0,21.77777777777778,0.0,44.0,16.560149759999998,31.0,259.35
13,2.0,21.77777777777778,0.0,44.0,16.560149759999998,31.0,257.3
14,2.0,21.77777777777778,0.0,44.0,16.560149759999998,31.0,264.01
15,4.0,22.0,0.0,44.0,16.560149759999998,31.0,515.07
16,5.0,22.27777777777777,0.0,45.0,16.560149759999998,31.0,547.12
17,4.0,22.5,0.0,44.0,16.560149759999998,31.0,532.99
18,4.0,22.61111111111111,0.0,45.0,16.560149759999998,31.0,534.1
19,4.0,23.000000000000004,0.0,43.0,16.560149759999998,31.0,492.03
20,2.0,23.111111111111107,0.0,43.0,16.560149759999998,31.0,236.23
21,1.0,23.22222222222222,0.0,45.0,16.560149759999998,31.0,210.5
22,2.0,23.277777777777786,0.0,44.0,16.560149759999998,31.0,216.65
23,2.0,23.22222222222222,0.0,43.0,16.560149759999998,31.0,275.93
24,2.0,23.000000000000004,0.0,43.0,16.560149759999998,31.0,287.92
25,1.0,23.000000000000004,0.0,45.0,16.560149759999998,31.0,196.45
26,2.0,22.88888888888889,0.0,44.0,16.560149759999998,31.0,228.81
27,2.0,22.77777777777778,0.0,44.0,16.560149759999998,31.0,221.7
28,2.0,22.77777777777778,0.0,45.0,16.560149759999998,31.0,226.36
29,2.0,22.77777777777778,0.0,44.0,16.560149759999998,31.0,259.83
30,2.0,22.77777777777778,0.0,43.0,16.560149759999998,31.0,273.88
31,2.0,22.722222222222225,0.0,44.0,16.560149759999998,31.0,319.42
32,3.0,22.38888888888889,0.0,44.0,16.560149759999998,31.0,419.81
33,2.0,22.5,0.0,44.0,16.560149759999998,31.0,242.15
34,4.0,22.5,0.0,43.0,16.560149759999998,31.0,449.57
35,1.0,22.38888888888889,0.0,44.0,16.560149759999998,31.0,187.45
36,1.0,22.27777777777777,0.0,44.0,16.560149759999998,31.0,181.53
37,1.0,22.22222222222222,0.0,45.0,16.560149759999998,31.0,167.01
38,1.0,21.888888888888893,0.0,45.0,16.560149759999998,31.0,153.43
39,1.0,21.888888888888893,0.0,45.0,16.560149759999998,31.0,147.67
40,1.0,22.0,0.0,47.0,16.560149759999998,31.0,142.62
41,1.0,22.0,0.0,45.0,16.560149759999998,31.0,143.88
42,1.0,22.0,0.0,46.0,16.560149759999998,31.0,150.51
43,1.0,21.888888888888893,0.0,46.0,16.560149759999998,31.0,159.75
44,1.0,21.888888888888893,0.0,47.0,16.560149759999998,31.0,202.76
45,1.0,22.0,0.0,47.0,16.560149759999998,31.0,171.98
46,1.0,22.0,0.0,47.0,16.560149759999998,31.0,156.99
47,1.0,22.0,0.0,48.0,16.560149759999998,31.0,150.59
48,1.0,21.888888888888893,0.0,47.0,16.560149759999998,31.0,147.28
49,1.0,21.888888888888893,0.0,47.0,16.560149759999998,31.0,141.59
50,1.0,21.888888888888893,0.0,47.0,16.560149759999998,31.0,136.07
51,1.0,21.888888888888893,0.0,47.0,16.560149759999998,31.0,126.99
52,1.0,21.888888888888893,0.0,48.0,16.560149759999998,31.0,119.49
53,1.0,21.77777777777778,0.0,48.0,16.560149759999998,31.0,110.42
54,0.0,21.722222222222214,0.0,48.0,16.560149759999998,31.0,103.31
55,0.0,21.611111111111114,0.0,47.0,16.560149759999998,31.0,98.5
56,0.0,21.5,0.0,47.0,16.560149759999998,31.0,95.66
57,0.0,21.5,0.0,47.0,16.560149759999998,31.0,96.45
58,0.0,21.5,0.0,48.0,16.560149759999998,31.0,99.84
59,0.0,21.5,0.0,48.0,16.560149759999998,31.0,103.63
60,0.0,21.5,0.0,47.0,16.560149759999998,31.0,107.02
61,1.0,21.5,0.0,47.0,16.560149759999998,31.0,113.5
62,1.0,21.5,0.0,47.0,16.560149759999998,31.0,114.68
63,1.0,21.5,0.0,47.0,16.560149759999998,31.0,109.79
64,0.0,21.5,0.0,48.0,16.560149759999998,31.0,100.87
65,0.0,21.5,0.0,47.0,16.560149759999998,31.0,96.45
66,0.0,21.38888888888889,0.0,47.0,16.560149759999998,31.0,94.55
67,0.0,21.38888888888889,0.0,47.0,16.560149759999998,31.0,91.95
68,0.0,21.38888888888889,0.0,47.0,16.560149759999998,31.0,91.95
69,0.0,21.5,0.0,47.0,16.560149759999998,31.0,92.82
70,0.0,21.38888888888889,0.0,47.0,16.560149759999998,31.0,94.16
71,0.0,21.38888888888889,0.0,48.0,16.560149759999998,31.0,95.9
72,0.0,21.38888888888889,0.0,47.0,16.560149759999998,31.0,98.82
73,0.0,21.5,0.0,47.0,16.560149759999998,31.0,99.68
74,0.0,21.5,0.0,48.0,16.560149759999998,31.0,100.95
75,0.0,21.5,0.0,46.0,16.560149759999998,31.0,107.1
76,1.0,21.5,0.0,47.0,16.560149759999998,31.0,111.29
77,1.0,21.5,0.0,47.0,16.560149759999998,31.0,113.02
78,1.0,21.5,0.0,46.0,16.560149759999998,31.0,123.99
79,1.0,21.5,0.0,47.0,16.560149759999998,31.0,137.73
80,1.0,21.5,0.0,47.0,16.560149759999998,31.0,152.01
81,1.0,21.5,0.0,48.0,16.560149759999998,31.0,163.46
82,1.0,21.5,0.0,47.0,16.560149759999998,31.0,171.51
83,1.0,21.5,0.0,47.0,16.560149759999998,31.0,178.85
84,1.0,21.5,0.0,47.0,16.560149759999998,31.0,180.19
85,1.0,21.5,0.0,47.0,16.560149759999998,31.0,176.87
86,1.0,21.5,0.0,47.0,16.560149759999998,31.0,167.88
87,1.0,21.5,0.0,47.0,16.560149759999998,31.0,158.56
88,1.0,21.611111111111114,0.0,47.0,16.560149759999998,31.0,149.09
89,1.0,21.611111111111114,0.0,47.0,16.560149759999998,31.0,136.31
90,1.0,21.611111111111114,0.0,48.0,16.560149759999998,31.0,119.73
91,1.0,21.722222222222214,0.0,48.0,16.560149759999998,31.0,108.68
92,0.0,21.611111111111114,0.0,48.0,16.560149759999998,31.0,100.55
93,0.0,21.5,0.0,49.0,16.560149759999998,31.0,93.53
94,0.0,21.5,0.0,49.0,16.560149759999998,31.0,85.79
95,0.0,21.38888888888889,0.0,49.0,16.560149759999998,31.0,78.06
96,0.0,21.38888888888889,0.0,49.0,16.560149759999998,31.0,68.82
97,0.0,21.27777777777777,0.0,49.0,16.560149759999998,31.0,61.8
98,0.0,21.27777777777777,0.0,49.0,16.560149759999998,31.0,57.22
99,0.0,21.222222222222225,0.0,49.0,16.560149759999998,31.0,51.78
100,0.0,21.222222222222225,0.0,49.0,16.560149759999998,31.0,49.41
101,0.0,21.11111111111111,0.0,50.0,16.560149759999998,31.0,52.01
102,0.0,21.222222222222225,0.0,49.0,16.560149759999998,31.0,85.0
103,0.0,21.222222222222225,0.0,50.0,16.560149759999998,31.0,82.4
104,0.0,21.27777777777777,0.0,50.0,16.560149759999998,31.0,82.48
105,0.0,21.38888888888889,0.0,49.0,16.560149759999998,31.0,85.71
106,0.0,21.38888888888889,0.0,49.0,16.560149759999998,30.0,84.69
107,0.0,21.5,0.0,49.0,16.560149759999998,31.0,93.37
108,0.0,21.5,0.0,50.0,16.560149759999998,31.0,104.34
109,1.0,21.5,0.0,49.0,16.560149759999998,30.0,129.99
110,1.0,21.5,0.0,49.0,16.560149759999998,30.0,116.5
111,1.0,21.611111111111114,0.0,49.0,16.560149759999998,30.0,116.5
112,1.0,21.611111111111114,0.0,48.0,16.560149759999998,30.0,124.47
113,1.0,21.5,0.0,49.0,16.560149759999998,30.0,130.15
114,1.0,21.5,0.0,50.0,16.560149759999998,30.0,131.1
115,1.0,21.5,0.0,50.0,16.560149759999998,30.0,129.91
116,1.0,21.5,0.0,49.0,16.560149759999998,30.0,125.65
117,1.0,21.38888888888889,0.0,50.0,16.560149759999998,30.0,120.52
118,1.0,21.27777777777777,0.0,50.0,16.560149759999998,30.0,116.1
119,1.0,21.222222222222225,0.0,50.0,16.560149759999998,30.0,113.73
120,1.0,21.222222222222225,0.0,50.0,16.560149759999998,30.0,112.15
121,1.0,21.222222222222225,0.0,50.0,16.560149759999998,30.0,111.44
122,1.0,21.11111111111111,0.0,49.0,16.560149759999998,30.0,113.02
123,1.0,21.11111111111111,0.0,50.0,16.560149759999998,30.0,113.81
124,1.0,21.11111111111111,0.0,49.0,16.560149759999998,30.0,113.26
125,1.0,21.0,0.0,50.0,16.560149759999998,30.0,113.65
126,1.0,21.0,0.0,48.0,16.560149759999998,30.0,110.89
